Ingredient1,Ingredient2,Cocktail_Count
cranberry juice,crown royal,2
angostura bitters,orange peel,2
orange peel,vodka,2
angostura bitters,orange juice,2
angostura bitters,maraschino liqueur,2
dry vermouth,maraschino cherry,2
dry vermouth,rye whiskey,2
angostura bitters,maraschino cherry,2
cognac,lemon peel,2
ginger beer,lemon peel,2
angostura bitters,lime,2
angostura bitters,tonic water,2
angostura bitters,ice,2
angostura bitters,bourbon,2
club soda,dark rum,2
fresh lemon juice,mint,2
angostura bitters,dark rum,2
dark rum,fresh lemon juice,2
light rum,sugar syrup,2
angostura bitters,sugar syrup,2
fresh lime juice,prosecco,2
anis,gin,2
anis,dry vermouth,2
cherry,maraschino liqueur,2
aperol,soda water,2
aperol,prosecco,2
soda water,strawberries,2
apple,strawberries,2
apple juice,strawberries,2
apple,red wine,2
apple,orange,2
apple,lime,2
orange,water,2
apple brandy,lime,2
apple juice,orange juice,2
banana,strawberries,2
ice,pineapple juice,2
light rum,orange,2
cherry,grenadine,2
cherry,fresh lemon juice,2
dry vermouth,grenadine,2
apricot brandy,dry vermouth,2
apricot brandy,grenadine,2
dry vermouth,powdered sugar,2
fresh lemon juice,powdered sugar,2
lemon,rum,2
bacardi limon,corona,2
frangelico,kahlua,2
coffee,cream,2
baileys irish cream,grand marnier,2
grand marnier,kahlua,2
baileys irish cream,vanilla ice-cream,2
baileys irish cream,butterscotch schnapps,2
butterscotch schnapps,kahlua,2
baileys irish cream,milk,2
coffee,irish whiskey,2
sugar,sugar syrup,2
baileys irish cream,goldschlager,2
goldschlager,kahlua,2
baileys irish cream,white creme de menthe,2
butterscotch schnapps,goldschlager,2
vanilla ice-cream,vodka,2
kahlua,vanilla ice-cream,2
banana,cherry,2
cherry,fresh lime juice,2
banana,orange juice,2
honey,strawberries,2
banana,honey,2
banana,yoghurt,2
honey,milk,2
fruit,yoghurt,2
banana liqueur,orange juice,2
grenadine,sweet and sour,2
dark rum,rum,2
dark rum,sweet and sour,2
rum,sweet and sour,2
tomato juice,worcestershire sauce,2
fresh lime juice,tomato juice,2
benedictine,lime,2
benedictine,orange juice,2
fresh lemon juice,red wine,2
fresh lemon juice,rum,2
benedictine,lemon peel,2
blended whiskey,lime,2
benedictine,bourbon,2
blue curacao,triple sec,2
bitters,triple sec,2
nutmeg,rum,2
bitters,fresh lime juice,2
egg white,nutmeg,2
egg white,fresh lime juice,2
ginger ale,lemon peel,2
blackberries,sugar syrup,2
lemonade,sugar syrup,2
blackberries,gin,2
mint,sugar syrup,2
elderflower cordial,gin,2
cranberry juice,malibu rum,2
blended whiskey,egg white,2
carbonated water,port,2
lemon,port,2
egg white,port,2
blue curacao,ice,2
lemonade,sugar,2
passoa,rum,2
blue curacao,rum,2
blue curacao,sweet and sour,2
dark rum,ice,2
blue curacao,fresh lime juice,2
cranberry juice,fresh lime juice,2
lemon-lime soda,vodka,2
lemon-lime soda,rum,2
gin,rosemary,2
bourbon,light rum,2
light rum,nutmeg,2
sugar,whipping cream,2
egg yolk,milk,2
egg white,milk,2
egg white,vanilla extract,2
nutmeg,vanilla extract,2
bourbon,powdered sugar,2
bourbon,mint,2
brandy,powdered sugar,2
ricard,water,2
brandy,nutmeg,2
creme de cacao,nutmeg,2
brandy,club soda,2
brandy,coffee,2
brandy,port,2
mint,orange,2
lemon,triple sec,2
lime,passion fruit juice,2
orange juice,peach nectar,2
rum,vanilla extract,2
milk,vodka,2
elderflower cordial,lime,2
campari,rye whiskey,2
campari,fresh lime juice,2
dark rum,fresh lime juice,2
light rum,orgeat syrup,2
light rum,sweet vermouth,2
fresh lemon juice,orange peel,2
orange juice,salt,2
orange juice,rosemary syrup,2
gin,orange spiral,2
orange spiral,powdered sugar,2
carbonated water,orange spiral,2
lemon peel,orange spiral,2
carbonated water,cherry,2
gin,pineapple,2
powdered sugar,strawberries,2
egg white,light cream,2
egg,gin,2
cherry brandy,gin,2
cherry brandy,sweet and sour,2
cloves,ginger,2
tea,water,2
cardamom,coffee,2
ginger,lemon,2
tabasco sauce,tomato juice,2
fresh lemon juice,tabasco sauce,2
tequila,tomato juice,2
celery salt,tomato juice,2
fresh lemon juice,lemon,2
celery salt,fresh lemon juice,2
chambord raspberry liqueur,cranberry juice,2
malibu rum,vodka,2
midori melon liqueur,vodka,2
rum,tequila,2
rum,triple sec,2
champagne,creme de cassis,2
club soda,orange juice,2
lemon,orange juice,2
lemon,pineapple juice,2
orange,orange juice,2
ice,milk,2
gin,ginger ale,2
southern comfort,sweet and sour,2
milk,whipped cream,2
heavy cream,milk,2
cinnamon,lemon peel,2
cloves,lemon peel,2
lemon peel,red wine,2
southern comfort,vodka,2
club soda,sweet and sour,2
club soda,vodka,2
dark rum,orange,2
dark rum,sugar,2
sweet and sour,tequila,2
coca-cola,sweet and sour,2
coca-cola,ice,2
coca-cola,lime,2
cocoa powder,water,2
cocoa powder,vanilla extract,2
pineapple juice,prosecco,2
prosecco,rum,2
light rum,pineapple,2
vanilla extract,vodka,2
coffee liqueur,vodka,2
creme de cassis,gin,2
cognac,gin,2
creme de cassis,fresh lemon juice,2
cognac,fresh lemon juice,2
cointreau,fresh lemon juice,2
cointreau,cranberry juice,2
cointreau,lemon,2
egg,vanilla extract,2
ice,mint,2
everclear,orange juice,2
everclear,vodka,2
grapefruit juice,vodka,2
galliano,triple sec,2
galliano,orange juice,2
pineapple juice,vodka,2
cream of coconut,ice,2
ice,tequila,2
creme de banane,vodka,2
creme de banane,orange juice,2
creme de cacao,gin,2
gin,ginger,2
gin,ginger beer,2
fresh lime juice,ginger beer,2
dark rum,vodka,2
dark rum,kahlua,2
fresh lime juice,lemon-lime soda,2
mountain dew,vodka,2
drambuie,lemon peel,2
drambuie,scotch,2
orange bitters,scotch,2
dry vermouth,vodka,2
olive,vodka,2
gin,olive,2
egg,sherry,2
powdered sugar,sherry,2
nutmeg,sherry,2
milk,powdered sugar,2
grenadine,triple sec,2
orange juice,wine,2
grapefruit juice,lime,2
lime,tequila,2
ice,salt,2
ginger ale,rum,2
fresh lime juice,galliano,2
gin,yellow chartreuse,2
green chartreuse,sweet vermouth,2
mint,peach bitters,2
grenadine,sugar,2
grenadine,maraschino cherry,2
grenadine,soda water,2
lemon peel,tonic water,2
fresh lime juice,soda water,2
pineapple,sugar,2
ginger,pineapple,2
ginger ale,vodka,2
ginger ale,spiced rum,2
orange,vodka,2
light rum,maraschino liqueur,2
light rum,pineapple juice,2
light rum,maraschino cherry,2
lemon-lime soda,red wine,2
strawberries,water,2
light rum,soda water,2
ice,lemon-lime soda,2
jack daniels,jim beam,2
fresh lemon juice,strawberries,2
fresh lemon juice,salt,2
strawberries,strawberry schnapps,2
sloe gin,sweet vermouth,2
strawberries,vodka,2
fresh lime juice,strawberries,2
lemonade,water,2
passion fruit juice,vodka,2
orange juice,pepsi cola,2
scotch,wine,2
schweppes russchian,vodka,2
dark creme de cacao,malibu rum,1
dark creme de cacao,light rum,1
cointreau,dark creme de cacao,1
coconut liqueur,dark creme de cacao,1
151 proof rum,dark creme de cacao,1
dark creme de cacao,milk,1
dark creme de cacao,vanilla ice-cream,1
light rum,malibu rum,1
cointreau,malibu rum,1
coconut liqueur,malibu rum,1
malibu rum,milk,1
malibu rum,vanilla ice-cream,1
cointreau,light rum,1
coconut liqueur,light rum,1
light rum,vanilla ice-cream,1
coconut liqueur,cointreau,1
151 proof rum,cointreau,1
cointreau,milk,1
cointreau,vanilla ice-cream,1
151 proof rum,coconut liqueur,1
coconut liqueur,milk,1
coconut liqueur,vanilla ice-cream,1
151 proof rum,milk,1
151 proof rum,vanilla ice-cream,1
151 proof rum,goldschlager,1
goldschlager,rumple minze,1
151 proof rum,rumple minze,1
151 proof rum,wormwood,1
ice,wormwood,1
bitters,wormwood,1
scotch,wormwood,1
151 proof rum,ice,1
151 proof rum,scotch,1
bitters,ice,1
ice,scotch,1
151 proof rum,sprite,1
151 proof rum,tequila,1
151 proof rum,fruit punch,1
sprite,tequila,1
fruit punch,sprite,1
fruit punch,tequila,1
dr. pepper,vodka,1
151 proof rum,dr. pepper,1
beer,dr. pepper,1
amaretto,dr. pepper,1
151 proof rum,vodka,1
beer,vodka,1
151 proof rum,beer,1
151 proof rum,kool-aid,1
151 proof rum,sugar,1
galliano,sugar,1
absolut citron,sugar,1
151 proof rum,galliano,1
151 proof rum,lemon,1
151 proof rum,absolut citron,1
galliano,lemon,1
absolut citron,galliano,1
daiquiri mix,pina colada mix,1
151 proof rum,daiquiri mix,1
151 proof rum,pina colada mix,1
light rum,lime peel,1
light rum,water,1
lime peel,water,1
151 proof rum,lime peel,1
lime peel,powdered sugar,1
bitters,lime peel,1
151 proof rum,water,1
151 proof rum,powdered sugar,1
bitters,powdered sugar,1
cherries,malibu rum,1
cherries,orange juice,1
cherries,grenadine,1
151 proof rum,cherries,1
cherries,pineapple juice,1
151 proof rum,orange juice,1
151 proof rum,pineapple juice,1
151 proof rum,irish cream,1
