Ingredient1,Ingredient2,Cocktail_Count
goldschlager,midori melon liqueur,1
grand marnier,orange juice,1
grand marnier,vanilla vodka,1
orange juice,vanilla vodka,1
grand marnier,sambuca,1
grape juice,vodka,1
grape juice,orange,1
grape juice,powdered sugar,1
fresh lemon juice,grape juice,1
powdered sugar,vodka,1
orange,powdered sugar,1
grape soda,ice,1
grape soda,vodka,1
grape soda,orange juice,1
grape soda,tequila,1
grapefruit juice,maraschino liqueur,1
grapefruit juice,rum,1
maraschino liqueur,rum,1
grapefruit juice,mint,1
mint,tequila,1
green chartreuse,irish whiskey,1
irish whiskey,sweet vermouth,1
green creme de menthe,grenadine,1
passion fruit juice,pineapple juice,1
grenadine,passion fruit juice,1
fresh lemon juice,passion fruit juice,1
grenadine,maraschino liqueur,1
maraschino liqueur,pineapple juice,1
maraschino cherry,pineapple juice,1
sour mix,spiced rum,1
grenadine,spiced rum,1
orange juice,spiced rum,1
grenadine,sour mix,1
grenadine,lemon-lime soda,1
grenadine,red wine,1
guinness stout,root beer,1
limeade,vodka,1
ice,limeade,1
half-and-half,limeade,1
limeade,nutmeg,1
half-and-half,vodka,1
nutmeg,vodka,1
half-and-half,ice,1
ice,nutmeg,1
half-and-half,nutmeg,1
honey,light rum,1
fresh lemon juice,honey,1
johnnie walker,lemon peel,1
honey,johnnie walker,1
honey,lemon peel,1
honey,water,1
southern comfort,white creme de menthe,1
hot chocolate,southern comfort,1
vodka,white creme de menthe,1
hot chocolate,vodka,1
hot chocolate,white creme de menthe,1
hot damn,whiskey,1
hot damn,tea,1
ice,mountain dew,1
peach nectar,vodka,1
ice,peach schnapps,1
peach nectar,peach schnapps,1
lemon peel,peach schnapps,1
ice,peach nectar,1
lemon peel,peach nectar,1
lime,salt,1
lime,yoghurt,1
mango,soda water,1
mango,mint,1
light rum,mango,1
lime,mango,1
ice,mango,1
ice,raspberry vodka,1
lemon-lime soda,raspberry vodka,1
ice,red wine,1
ice,root beer,1
root beer,sambuca,1
ice,sambuca,1
iced tea,vodka,1
fresh lemon juice,iced tea,1
irish cream,sambuca,1
jack daniels,johnnie walker,1
jim beam,johnnie walker,1
jack daniels,sour mix,1
midori melon liqueur,sour mix,1
jack daniels,midori melon liqueur,1
jack daniels,wild turkey,1
jim beam,wild turkey,1
sambuca,vodka,1
jello,vodka,1
jello,water,1
kahlua,sugar syrup,1
kiwi,vodka,1
kiwi,sugar syrup,1
kiwi,papaya,1
kool-aid,vodka,1
lager,tequila,1
lemon,pineapple,1
lemon,lemon-lime soda,1
pineapple juice,red wine,1
orange,pineapple juice,1
tabasco sauce,vodka,1
lime,tabasco sauce,1
tabasco sauce,worcestershire sauce,1
tomato juice,vodka,1
vodka,worcestershire sauce,1
lime,tomato juice,1
fresh lemon juice,lime,1
lime,worcestershire sauce,1
fresh lemon juice,worcestershire sauce,1
tia maria,vodka,1
fresh lemon juice,tia maria,1
orange juice,tia maria,1
rose,strawberries,1
rose,sugar,1
fresh lemon juice,rose,1
fresh lemon juice,yoghurt,1
salt,strawberries,1
strawberries,tequila,1
strawberries,triple sec,1
salt,strawberry schnapps,1
strawberry schnapps,tequila,1
fresh lemon juice,strawberry schnapps,1
strawberry schnapps,triple sec,1
light rum,maple syrup,1
fresh lemon juice,maple syrup,1
lemon peel,sloe gin,1
powdered sugar,rum,1
lemon peel,rum,1
lemon-lime soda,strawberries,1
maraschino liqueur,triple sec,1
fresh lime juice,pineapple,1
light rum,sherry,1
lime,sherry,1
light rum,strawberries,1
light rum,strawberry schnapps,1
powdered sugar,strawberry schnapps,1
fresh lime juice,strawberry schnapps,1
fresh lime juice,powdered sugar,1
southern comfort,triple sec,1
lime,southern comfort,1
sour mix,triple sec,1
lime,sour mix,1
lime peel,soda water,1
lime peel,sugar,1
lime,lime peel,1
passoa,vodka,1
passion fruit juice,passoa,1
lime,passoa,1
passoa,prosecco,1
prosecco,vodka,1
passion fruit juice,prosecco,1
lime,prosecco,1
mint,passoa,1
passoa,peach bitters,1
passion fruit syrup,passoa,1
fresh lime juice,passoa,1
mint,rum,1
mint,passion fruit syrup,1
peach bitters,rum,1
passion fruit syrup,peach bitters,1
fresh lime juice,peach bitters,1
passion fruit syrup,rum,1
fresh lime juice,passion fruit syrup,1
orange juice,tomato juice,1
salt,tomato juice,1
salt,sugar syrup,1
sugar syrup,tequila,1
sugar syrup,tomato juice,1
fresh lime juice,sprite,1
mango,yoghurt,1
mango,sugar,1
mango,water,1
mango,orange,1
midori melon liqueur,zima,1
olive,scotch,1
olive,sweet vermouth,1
olive,orange bitters,1
sherry,sweet vermouth,1
orange bitters,sherry,1
pepsi cola,southern comfort,1
orange juice,southern comfort,1
peach schnapps,pepsi cola,1
peach schnapps,red wine,1
pepsi cola,red wine,1
orange juice,scotch,1
orgeat syrup,ricard,1
orgeat syrup,water,1
ouzo,vodka,1
passion fruit juice,sugar syrup,1
peachtree schnapps,surge,1
raspberry liqueur,vodka,1
pineapple juice,raspberry liqueur,1
pink lemonade,vodka,1
pink lemonade,sprite,1
sambuca,sarsaparilla,1
strawberry liqueur,vodka,1
strawberries,strawberry liqueur,1
schweppes russchian,strawberry liqueur,1
schweppes russchian,strawberries,1
sweet vermouth,wine,1
sloe gin,wine,1
vodka,wormwood,1
sugar,wormwood,1
